mechanism,strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
step,moderate,15,adaptshrink_ens,0.2,0.2693991747616517,0.0055135490072438,0.5332848005160595,True
step,moderate,15,adaptshrink_solo,0.2,0.3591470660133045,0.1263154351214465,0.5919786969051626,True
step,moderate,16,reml_hksj,0.2,0.3001095392982274,0.2370637117170483,0.3631553668794065,True
step,moderate,16,trim_and_fill,0.2,0.1860061287284875,0.1570033933195749,0.2150088641374001,True
step,moderate,16,pet_peese,0.2,0.3103672540354558,0.2617384998992498,0.3589960081716618,True
step,moderate,16,copas,0.2,0.3002042128254602,0.244322012441515,0.3560864132094054,True
step,moderate,16,ubcma,0.2,0.2780453370076385,0.1480560281669637,0.3952458799974592,True
step,moderate,16,henmi_copas,0.2,0.3058467854809477,0.2338842574280162,0.3778093135338791,True
step,moderate,16,adaptshrink_ens,0.2,0.2872071327473268,0.0909492386834287,0.4834650268112249,True
step,moderate,16,adaptshrink_solo,0.2,0.2999805775990278,0.2390966570898656,0.36086449810819,True
step,moderate,17,reml_hksj,0.2,0.259945269668374,0.2044393006654747,0.3154512386712733,True
step,moderate,17,trim_and_fill,0.2,0.1525666664373791,0.12478719908813,0.1803461337866281,True
step,moderate,17,pet_peese,0.2,0.2524581489194138,0.2040208425121866,0.3008954553266411,True
step,moderate,17,copas,0.2,0.2597568641307752,0.2087458149597821,0.3107679133017683,True
step,moderate,17,ubcma,0.2,0.2097843436401769,0.1295860294338153,0.2717969036310176,True
