cell,strength,method,n,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,mciw_area,mciw_cov
k20_rho-0.8_p0.1,none,reitsma_indep,400,-0.3995,-0.0615,0.4639,0.372,0.4336,1.5042,0.945,3.567,1.6017,0.96
k20_rho-0.8_p0.1,none,reitsma_reml,400,-0.3413,-0.0524,0.4138,0.45,0.4333,1.262,0.945,2.897,1.2827,0.96
k20_rho-0.8_p0.1,none,sep_univariate,400,-0.3966,-0.0616,0.4601,0.41,0.4439,1.4704,0.94,3.417,1.5526,0.97
k20_rho-0.8_p0.1,strong,adaptshrink_dta,400,-0.0317,0.0543,0.246,0.915,0.5272,0.3515,0.885,1.056,0.5658,0.905
k20_rho-0.8_p0.1,strong,reitsma,400,-0.0134,0.0547,0.2448,0.92,0.4619,0.4071,0.935,1.094,0.5119,0.915
k20_rho-0.8_p0.1,strong,reitsma_indep,400,-0.1007,0.0493,0.2655,0.84,0.4758,0.4276,0.895,1.408,0.675,0.88
k20_rho-0.8_p0.1,strong,reitsma_reml,400,-0.01,0.0579,0.2455,0.927,0.4778,0.4168,0.935,1.052,0.5095,0.915
k20_rho-0.8_p0.1,strong,sep_univariate,400,-0.1095,0.0499,0.2672,0.85,0.4762,0.4413,0.905,1.523,0.7299,0.9
k20_rho-0.8_p0.3,moderate,adaptshrink_dta,400,-0.0506,0.0056,0.2266,0.92,0.4037,0.3636,0.905,1.139,0.4665,0.93
k20_rho-0.8_p0.3,moderate,reitsma,400,-0.0468,0.006,0.2246,0.897,0.3294,0.3881,0.925,1.265,0.4203,0.915
k20_rho-0.8_p0.3,moderate,reitsma_indep,400,-0.0829,-0.005,0.2374,0.858,0.3949,0.412,0.915,1.424,0.5682,0.915
k20_rho-0.8_p0.3,moderate,reitsma_reml,400,-0.0424,0.0091,0.2243,0.91,0.3459,0.3609,0.925,1.186,0.4137,0.915
k20_rho-0.8_p0.3,moderate,sep_univariate,400,-0.0731,-0.0024,0.235,0.885,0.4222,0.3967,0.91,1.21,0.5166,0.92
k20_rho-0.8_p0.3,none,adaptshrink_dta,400,-0.1439,-0.0525,0.2727,0.79,0.3858,0.6868,0.97,2.046,0.801,0.975
k20_rho-0.8_p0.3,none,reitsma,400,-0.1395,-0.0507,0.27,0.688,0.3211,0.661,0.97,2.606,0.8399,0.965
k20_rho-0.8_p0.3,none,reitsma_indep,400,-0.1689,-0.0629,0.2883,0.757,0.3873,0.762,0.955,2.209,0.8682,0.94
k20_rho-0.8_p0.3,none,reitsma_reml,400,-0.1355,-0.048,0.2676,0.715,0.3384,0.6462,0.97,2.467,0.8373,0.96
k20_rho-0.8_p0.3,none,sep_univariate,400,-0.1618,-0.0615,0.2851,0.777,0.4074,0.7536,0.95,2.206,0.9132,0.95
k20_rho-0.8_p0.3,strong,adaptshrink_dta,400,0.0587,0.0624,0.2546,0.892,0.4398,0.5743,0.975,1.241,0.552,0.93
k20_rho-0.8_p0.3,strong,reitsma,400,0.0653,0.063,0.2561,0.828,0.3424,0.5742,0.955,1.647,0.5625,0.96
k20_rho-0.8_p0.3,strong,reitsma_indep,400,0.0172,0.0489,0.2452,0.858,0.4117,0.4773,0.965,1.5,0.6212,0.91
k20_rho-0.8_p0.3,strong,reitsma_reml,400,0.0696,0.0664,0.2584,0.828,0.3577,0.593,0.955,1.601,0.5707,0.96
k20_rho-0.8_p0.3,strong,sep_univariate,400,0.0278,0.0518,0.2474,0.87,0.4409,0.5115,0.965,1.423,0.6317,0.91
k20_rho-0.8_p0.5,moderate,adaptshrink_dta,400,-0.0132,0.0049,0.2302,0.907,0.3959,0.4009,0.935,1.214,0.4885,0.935
k20_rho-0.8_p0.5,moderate,reitsma,400,-0.0126,0.0058,0.2303,0.887,0.3108,0.4062,0.93,1.407,0.443,0.92
k20_rho-0.8_p0.5,moderate,reitsma_indep,400,-0.0322,-0.0136,0.2314,0.873,0.3941,0.3719,0.91,1.633,0.6509,0.94
k20_rho-0.8_p0.5,moderate,reitsma_reml,400,-0.009,0.0094,0.2306,0.89,0.327,0.4034,0.925,1.413,0.4683,0.925
k20_rho-0.8_p0.5,moderate,sep_univariate,400,-0.0276,-0.0085,0.2323,0.885,0.4175,0.3616,0.905,1.522,0.6391,0.945
k20_rho-0.8_p0.5,none,adaptshrink_dta,400,-0.0881,-0.0678,0.2502,0.833,0.3748,0.6077,0.95,1.901,0.7195,0.955
k20_rho-0.8_p0.5,none,reitsma,400,-0.0869,-0.066,0.2484,0.757,0.3071,0.5844,0.94,2.439,0.7525,0.95
k20_rho-0.8_p0.5,none,reitsma_indep,400,-0.1035,-0.0842,0.261,0.8,0.3808,0.6415,0.945,2.247,0.8648,0.96
k20_rho-0.8_p0.5,none,reitsma_reml,400,-0.0835,-0.0628,0.2467,0.775,0.3242,0.5734,0.94,2.321,0.7565,0.945
k20_rho-0.8_p0.5,none,sep_univariate,400,-0.1001,-0.0804,0.2602,0.815,0.3997,0.6236,0.935,2.056,0.8354,0.965
k20_rho-0.8_p0.5,strong,adaptshrink_dta,400,0.0617,0.0837,0.2575,0.877,0.4289,0.6234,0.935,1.391,0.61,0.955
k20_rho-0.8_p0.5,strong,reitsma,400,0.063,0.0848,0.2587,0.792,0.3224,0.6666,0.935,1.938,0.6303,0.945
k20_rho-0.8_p0.5,strong,reitsma_indep,400,0.0382,0.0619,0.2438,0.86,0.4126,0.5345,0.94,1.607,0.6757,0.955
k20_rho-0.8_p0.5,strong,reitsma_reml,400,0.0669,0.0886,0.2613,0.79,0.338,0.6792,0.935,1.883,0.6414,0.945
k20_rho-0.8_p0.5,strong,sep_univariate,400,0.0443,0.068,0.2481,0.863,0.4411,0.5361,0.94,1.611,0.724,0.96
k20_rho0.0_p0.1,moderate,adaptshrink_dta,400,-0.2111,0.0443,0.3092,0.792,0.4533,0.5918,0.9,1.705,0.7722,0.935
k20_rho0.0_p0.1,moderate,reitsma,400,-0.2105,0.0442,0.3096,0.782,0.4418,0.6156,0.925,1.681,0.7428,0.925
k20_rho0.0_p0.1,moderate,reitsma_indep,400,-0.2221,0.0435,0.3154,0.777,0.4467,0.6442,0.92,2.03,0.906,0.94
k20_rho0.0_p0.1,moderate,reitsma_reml,400,-0.205,0.0473,0.3063,0.8,0.4614,0.6286,0.935,1.67,0.7711,0.93
k20_rho0.0_p0.1,moderate,sep_univariate,400,-0.2241,0.0445,0.316,0.78,0.4536,0.6356,0.91,1.878,0.8476,0.935
k20_rho0.0_p0.1,none,adaptshrink_dta,400,-0.3823,-0.064,0.4538,0.425,0.4369,1.3728,0.91,3.248,1.3996,0.925
k20_rho0.0_p0.1,none,reitsma,400,-0.3827,-0.0643,0.4547,0.407,0.4264,1.3552,0.9,3.558,1.4975,0.935
k20_rho0.0_p0.1,none,reitsma_indep,400,-0.3895,-0.0645,0.4597,0.41,0.4329,1.3779,0.91,3.349,1.4288,0.925
k20_rho0.0_p0.1,none,reitsma_reml,400,-0.3774,-0.0616,0.4497,0.44,0.4463,1.3186,0.9,3.37,1.4849,0.935
k20_rho0.0_p0.1,none,sep_univariate,400,-0.3867,-0.0639,0.4561,0.422,0.444,1.4021,0.91,3.21,1.4025,0.925
k20_rho0.0_p0.1,strong,adaptshrink_dta,400,-0.0306,0.1418,0.2737,0.838,0.4712,0.7753,0.99,1.801,0.8306,0.985
k20_rho0.0_p0.1,strong,reitsma,400,-0.0282,0.1419,0.275,0.828,0.4556,0.8345,0.995,1.798,0.8017,0.985
k20_rho0.0_p0.1,strong,reitsma_indep,400,-0.0498,0.1405,0.2759,0.812,0.4576,0.7685,0.99,1.724,0.7739,0.97
k20_rho0.0_p0.1,strong,reitsma_reml,400,-0.0224,0.1454,0.2764,0.835,0.4746,0.8602,0.995,1.72,0.7995,0.985
k20_rho0.0_p0.1,strong,sep_univariate,400,-0.0576,0.1425,0.2776,0.805,0.463,0.7505,0.99,1.538,0.6983,0.965
k20_rho0.0_p0.3,moderate,adaptshrink_dta,400,-0.0205,0.0449,0.2177,0.91,0.3767,0.3815,0.935,1.352,0.516,0.935
k20_rho0.0_p0.3,moderate,reitsma,400,-0.0216,0.0441,0.2186,0.895,0.3652,0.3964,0.94,1.721,0.6377,0.965
k20_rho0.0_p0.3,moderate,reitsma_indep,400,-0.0248,0.0437,0.2172,0.907,0.3806,0.3969,0.945,1.368,0.5279,0.935
k20_rho0.0_p0.3,moderate,reitsma_reml,400,-0.0148,0.0479,0.2191,0.902,0.3874,0.3847,0.935,1.635,0.642,0.955
k20_rho0.0_p0.3,moderate,sep_univariate,400,-0.0153,0.0459,0.2169,0.92,0.4043,0.402,0.945,1.237,0.5026,0.95
k20_rho0.0_p0.3,none,adaptshrink_dta,400,-0.1574,-0.0678,0.2841,0.725,0.3736,0.7921,0.94,2.475,0.9236,0.965
k20_rho0.0_p0.3,none,reitsma,400,-0.1587,-0.0685,0.2854,0.703,0.3633,0.8002,0.94,2.554,0.9264,0.945
k20_rho0.0_p0.3,none,reitsma_indep,400,-0.1597,-0.0687,0.2856,0.74,0.378,0.7573,0.94,2.072,0.7806,0.935
k20_rho0.0_p0.3,none,reitsma_reml,400,-0.1523,-0.0649,0.2813,0.728,0.3861,0.7766,0.94,2.498,0.9636,0.955
k20_rho0.0_p0.3,none,sep_univariate,400,-0.1519,-0.0671,0.2821,0.765,0.3999,0.762,0.94,1.893,0.7492,0.935
k20_rho0.0_p0.3,strong,adaptshrink_dta,400,0.1046,0.1505,0.2763,0.735,0.3675,0.7581,0.965,2.396,0.8914,0.975
k20_rho0.0_p0.3,strong,reitsma,400,0.1046,0.1501,0.277,0.69,0.35,0.7618,0.96,2.484,0.8809,0.955
k20_rho0.0_p0.3,strong,reitsma_indep,400,0.0963,0.1473,0.2707,0.79,0.3687,0.7448,0.965,2.308,0.8615,0.97
k20_rho0.0_p0.3,strong,reitsma_reml,400,0.1116,0.1544,0.2821,0.703,0.371,0.7932,0.96,2.427,0.9122,0.955
k20_rho0.0_p0.3,strong,sep_univariate,400,0.1057,0.1509,0.2763,0.797,0.3939,0.7723,0.96,2.25,0.8904,0.975
k20_rho0.0_p0.5,moderate,adaptshrink_dta,400,0.0426,0.0277,0.2161,0.905,0.36,0.373,0.91,1.171,0.4233,0.935
k20_rho0.0_p0.5,moderate,reitsma,400,0.0416,0.0269,0.2162,0.892,0.3483,0.3724,0.905,1.288,0.4509,0.93
k20_rho0.0_p0.5,moderate,reitsma_indep,400,0.0405,0.0257,0.2148,0.905,0.3652,0.3594,0.905,1.253,0.4588,0.945
k20_rho0.0_p0.5,moderate,reitsma_reml,400,0.0468,0.0321,0.2182,0.897,0.3702,0.3829,0.92,1.26,0.4686,0.93
k20_rho0.0_p0.5,moderate,sep_univariate,400,0.0461,0.0308,0.218,0.922,0.3907,0.3734,0.91,1.113,0.4359,0.925
k20_rho0.0_p0.5,none,adaptshrink_dta,400,-0.0908,-0.088,0.2535,0.812,0.373,0.5874,0.925,1.952,0.7277,0.94
k20_rho0.0_p0.5,none,reitsma,400,-0.0916,-0.0889,0.2545,0.795,0.3644,0.6195,0.93,2.283,0.8323,0.945
k20_rho0.0_p0.5,none,reitsma_indep,400,-0.0922,-0.0896,0.2541,0.823,0.378,0.5904,0.925,2.042,0.7715,0.95
k20_rho0.0_p0.5,none,reitsma_reml,400,-0.0869,-0.0841,0.2516,0.823,0.387,0.5999,0.93,2.201,0.8525,0.955
k20_rho0.0_p0.5,none,sep_univariate,400,-0.0882,-0.0856,0.2526,0.84,0.3991,0.5686,0.92,1.842,0.7308,0.945
k20_rho0.0_p0.5,strong,adaptshrink_dta,400,0.1543,0.147,0.2983,0.69,0.3543,0.8599,0.965,2.272,0.8051,0.955
k20_rho0.0_p0.5,strong,reitsma,400,0.1538,0.1467,0.2981,0.637,0.337,0.8364,0.965,2.728,0.9168,0.955
k20_rho0.0_p0.5,strong,reitsma_indep,400,0.1496,0.1423,0.2932,0.708,0.3569,0.8579,0.97,2.082,0.7431,0.96
k20_rho0.0_p0.5,strong,reitsma_reml,400,0.1594,0.1523,0.3041,0.645,0.3582,0.8624,0.965,2.63,0.9389,0.95
k20_rho0.0_p0.5,strong,sep_univariate,400,0.1561,0.1493,0.3011,0.725,0.3859,0.8616,0.965,1.92,0.7397,0.935
k40_rho-0.4_p0.1,moderate,adaptshrink_dta,400,-0.2439,0.0254,0.2961,0.575,0.2298,0.5291,0.915,2.586,0.6023,0.915
k40_rho-0.4_p0.1,moderate,reitsma,400,-0.2431,0.0254,0.2961,0.562,0.2215,0.5295,0.915,2.688,0.6013,0.92
k40_rho-0.4_p0.1,moderate,reitsma_indep,400,-0.2653,0.0231,0.3136,0.525,0.2277,0.5887,0.92,3.254,0.7504,0.95
k40_rho-0.4_p0.1,moderate,reitsma_reml,400,-0.24,0.0269,0.2937,0.573,0.2265,0.5208,0.91,2.617,0.5991,0.93
k40_rho-0.4_p0.1,moderate,sep_univariate,400,-0.2739,0.0227,0.32,0.497,0.2243,0.5846,0.9,3.159,0.7215,0.94
k40_rho-0.4_p0.1,none,adaptshrink_dta,400,-0.3966,-0.0585,0.4278,0.11,0.223,1.0221,0.895,4.605,1.035,0.945
k40_rho-0.4_p0.1,none,reitsma,400,-0.3951,-0.0581,0.4265,0.102,0.2174,1.016,0.9,4.717,1.0334,0.935
k40_rho-0.4_p0.1,none,reitsma_indep,400,-0.409,-0.0606,0.4395,0.117,0.2227,1.0872,0.905,4.697,1.0523,0.95
k40_rho-0.4_p0.1,none,reitsma_reml,400,-0.3923,-0.0567,0.4237,0.115,0.2226,1.013,0.9,4.663,1.0465,0.945
k40_rho-0.4_p0.1,none,sep_univariate,400,-0.4106,-0.0615,0.4408,0.1,0.2217,1.0988,0.885,4.524,1.0044,0.91
k40_rho-0.4_p0.1,strong,adaptshrink_dta,400,-0.066,0.1026,0.211,0.82,0.2473,0.3359,0.915,1.589,0.3983,0.935
k40_rho-0.4_p0.1,strong,reitsma,400,-0.0635,0.1023,0.2123,0.805,0.2327,0.3368,0.92,1.533,0.3604,0.92
k40_rho-0.4_p0.1,strong,reitsma_indep,400,-0.1082,0.0994,0.2243,0.765,0.2384,0.3254,0.91,1.981,0.4787,0.94
k40_rho-0.4_p0.1,strong,reitsma_reml,400,-0.0609,0.1039,0.2121,0.812,0.2373,0.3444,0.92,1.524,0.3655,0.915
k40_rho-0.4_p0.1,strong,sep_univariate,400,-0.125,0.1001,0.2315,0.743,0.2334,0.3387,0.92,2.101,0.5003,0.94
k40_rho-0.4_p0.3,moderate,adaptshrink_dta,400,-0.0566,0.0113,0.1555,0.907,0.1892,0.1937,0.925,1.238,0.2365,0.935
k40_rho-0.4_p0.3,moderate,reitsma,400,-0.0585,0.0105,0.1566,0.887,0.1822,0.1956,0.92,1.349,0.2472,0.94
k40_rho-0.4_p0.3,moderate,reitsma_indep,400,-0.0655,0.0068,0.157,0.922,0.1956,0.2073,0.935,1.336,0.265,0.945
k40_rho-0.4_p0.3,moderate,reitsma_reml,400,-0.0554,0.0123,0.1556,0.897,0.1876,0.1922,0.925,1.282,0.2418,0.935
k40_rho-0.4_p0.3,moderate,sep_univariate,400,-0.0601,0.0081,0.1555,0.93,0.2032,0.1973,0.925,1.12,0.2306,0.94
k40_rho-0.4_p0.3,none,adaptshrink_dta,400,-0.1834,-0.0731,0.245,0.52,0.1923,0.4725,0.92,3.04,0.5943,0.96
k40_rho-0.4_p0.3,none,reitsma,400,-0.1836,-0.0731,0.2453,0.485,0.1878,0.4671,0.915,3.113,0.5931,0.955
k40_rho-0.4_p0.3,none,reitsma_indep,400,-0.1905,-0.077,0.2515,0.568,0.1978,0.4995,0.925,2.693,0.5418,0.955
k40_rho-0.4_p0.3,none,reitsma_reml,400,-0.1808,-0.0715,0.2428,0.522,0.1933,0.4598,0.915,2.938,0.5761,0.955
k40_rho-0.4_p0.3,none,sep_univariate,400,-0.1861,-0.0767,0.2485,0.595,0.2035,0.479,0.92,2.413,0.4971,0.95
k40_rho-0.4_p0.3,strong,adaptshrink_dta,400,0.0668,0.1052,0.1965,0.75,0.1899,0.3728,0.98,1.946,0.3706,0.975
k40_rho-0.4_p0.3,strong,reitsma,400,0.0641,0.1038,0.1955,0.69,0.1771,0.3696,0.98,2.251,0.3996,0.97
k40_rho-0.4_p0.3,strong,reitsma_indep,400,0.0495,0.0974,0.1855,0.868,0.1957,0.3374,0.98,1.771,0.3483,0.97
k40_rho-0.4_p0.3,strong,reitsma_reml,400,0.0672,0.1058,0.1975,0.688,0.1822,0.3785,0.98,2.258,0.4126,0.97
k40_rho-0.4_p0.3,strong,sep_univariate,400,0.0559,0.0992,0.1884,0.877,0.2044,0.3524,0.985,1.811,0.3709,0.975
k40_rho-0.4_p0.5,moderate,adaptshrink_dta,400,-0.0043,-0.0027,0.1445,0.945,0.1889,0.1654,0.925,1.116,0.2121,0.955
k40_rho-0.4_p0.5,moderate,reitsma,400,-0.0055,-0.0038,0.1444,0.932,0.1822,0.1652,0.93,1.108,0.2032,0.94
k40_rho-0.4_p0.5,moderate,reitsma_indep,400,-0.0104,-0.0092,0.1448,0.948,0.1957,0.1626,0.92,1.004,0.198,0.95
k40_rho-0.4_p0.5,moderate,reitsma_reml,400,-0.0032,-0.0015,0.1444,0.938,0.1875,0.1639,0.93,1.09,0.2056,0.945
k40_rho-0.4_p0.5,moderate,sep_univariate,400,-0.0079,-0.0058,0.1458,0.95,0.2036,0.1582,0.91,0.967,0.1978,0.94
k40_rho-0.4_p0.5,none,adaptshrink_dta,400,-0.1156,-0.0943,0.2089,0.677,0.1897,0.3923,0.93,2.126,0.4035,0.93
k40_rho-0.4_p0.5,none,reitsma,400,-0.1161,-0.0949,0.2094,0.645,0.1851,0.3946,0.93,2.149,0.3975,0.915
k40_rho-0.4_p0.5,none,reitsma_indep,400,-0.1204,-0.0992,0.2138,0.72,0.1958,0.4101,0.92,2.02,0.3959,0.95
k40_rho-0.4_p0.5,none,reitsma_reml,400,-0.114,-0.0928,0.2074,0.675,0.1905,0.3873,0.93,2.037,0.3878,0.915
k40_rho-0.4_p0.5,none,sep_univariate,400,-0.1188,-0.0972,0.2128,0.748,0.201,0.4063,0.93,1.861,0.3749,0.935
k40_rho-0.4_p0.5,strong,adaptshrink_dta,400,0.0978,0.099,0.2032,0.682,0.1862,0.3567,0.91,2.016,0.3777,0.93
k40_rho-0.4_p0.5,strong,reitsma,400,0.0961,0.0974,0.2017,0.635,0.1742,0.3604,0.925,2.514,0.4423,0.935
k40_rho-0.4_p0.5,strong,reitsma_indep,400,0.0874,0.0871,0.192,0.825,0.1933,0.3341,0.915,1.496,0.2905,0.935
k40_rho-0.4_p0.5,strong,reitsma_reml,400,0.0984,0.0997,0.2041,0.635,0.1793,0.3677,0.92,2.495,0.4518,0.94
k40_rho-0.4_p0.5,strong,sep_univariate,400,0.091,0.0918,0.197,0.828,0.2033,0.3401,0.905,1.438,0.2935,0.93
k40_rho-0.8_p0.1,moderate,adaptshrink_dta,400,-0.2195,0.0021,0.2743,0.69,0.2433,0.454,0.92,2.202,0.5364,0.935
k40_rho-0.8_p0.1,moderate,reitsma,400,-0.2103,0.0027,0.269,0.66,0.2199,0.43,0.91,2.282,0.504,0.915
k40_rho-0.8_p0.1,moderate,reitsma_indep,400,-0.2742,-0.0034,0.319,0.517,0.2315,0.6139,0.94,3.196,0.7457,0.955
k40_rho-0.8_p0.1,moderate,reitsma_reml,400,-0.2086,0.0041,0.2677,0.667,0.2238,0.4255,0.92,2.273,0.5111,0.92
k40_rho-0.8_p0.1,moderate,sep_univariate,400,-0.2813,-0.0034,0.3245,0.492,0.2293,0.6426,0.945,3.333,0.7718,0.95
k40_rho-0.8_p0.1,none,adaptshrink_dta,400,-0.3676,-0.056,0.4017,0.117,0.2305,1.0205,0.885,3.744,0.8727,0.925
k40_rho-0.8_p0.1,none,reitsma,400,-0.3573,-0.0546,0.3925,0.092,0.2121,1.0294,0.895,4.291,0.9187,0.93
k40_rho-0.8_p0.1,none,reitsma_indep,400,-0.4084,-0.0613,0.44,0.09,0.2228,1.1565,0.88,4.726,1.0613,0.94
k40_rho-0.8_p0.1,none,reitsma_reml,400,-0.3558,-0.0533,0.3909,0.098,0.2162,1.0301,0.895,4.265,0.9308,0.93
k40_rho-0.8_p0.1,none,sep_univariate,400,-0.4104,-0.062,0.4414,0.068,0.2221,1.1962,0.885,4.717,1.0541,0.955
k40_rho-0.8_p0.1,strong,adaptshrink_dta,400,-0.0563,0.0552,0.1854,0.91,0.2626,0.2579,0.97,1.18,0.3112,0.95
k40_rho-0.8_p0.1,strong,reitsma,400,-0.0461,0.0548,0.1857,0.907,0.2328,0.2737,0.975,1.187,0.2776,0.95
k40_rho-0.8_p0.1,strong,reitsma_indep,400,-0.1336,0.0492,0.2182,0.81,0.2427,0.2982,0.955,2.02,0.4932,0.955
k40_rho-0.8_p0.1,strong,reitsma_reml,400,-0.0445,0.0563,0.1858,0.917,0.2366,0.2693,0.975,1.168,0.2775,0.95
k40_rho-0.8_p0.1,strong,sep_univariate,400,-0.1494,0.0494,0.2274,0.792,0.2367,0.3076,0.955,2.422,0.5802,0.97
k40_rho-0.8_p0.3,moderate,adaptshrink_dta,400,-0.0581,-0.0158,0.1698,0.875,0.191,0.2407,0.925,1.327,0.2586,0.93
k40_rho-0.8_p0.3,moderate,reitsma,400,-0.058,-0.0167,0.1704,0.823,0.163,0.2212,0.895,1.44,0.2392,0.905
k40_rho-0.8_p0.3,moderate,reitsma_indep,400,-0.088,-0.0275,0.1818,0.843,0.1992,0.2633,0.91,1.674,0.3428,0.92
k40_rho-0.8_p0.3,moderate,reitsma_reml,400,-0.0558,-0.0153,0.1695,0.835,0.1672,0.2157,0.9,1.388,0.2366,0.905
k40_rho-0.8_p0.3,moderate,sep_univariate,400,-0.0818,-0.0273,0.1793,0.855,0.2059,0.2418,0.895,1.622,0.3424,0.925
k40_rho-0.8_p0.3,none,adaptshrink_dta,400,-0.1644,-0.0639,0.2297,0.535,0.1863,0.4667,0.915,2.403,0.4545,0.94
k40_rho-0.8_p0.3,none,reitsma,400,-0.1627,-0.0634,0.2282,0.407,0.1639,0.4614,0.91,2.986,0.4941,0.93
k40_rho-0.8_p0.3,none,reitsma_indep,400,-0.1898,-0.0757,0.2521,0.57,0.1979,0.5767,0.925,2.524,0.5083,0.95
k40_rho-0.8_p0.3,none,reitsma_reml,400,-0.1607,-0.0621,0.2265,0.432,0.1684,0.4538,0.915,2.823,0.4802,0.93
k40_rho-0.8_p0.3,none,sep_univariate,400,-0.1855,-0.0755,0.2491,0.593,0.2033,0.5613,0.93,2.313,0.4768,0.95
k40_rho-0.8_p0.3,strong,adaptshrink_dta,400,0.0442,0.0468,0.173,0.91,0.2084,0.2526,0.955,1.276,0.2728,0.96
k40_rho-0.8_p0.3,strong,reitsma,400,0.0451,0.0452,0.1741,0.838,0.1676,0.2574,0.945,1.606,0.2763,0.94
k40_rho-0.8_p0.3,strong,reitsma_indep,400,0.0046,0.0331,0.1601,0.895,0.2068,0.2079,0.955,1.259,0.269,0.93
k40_rho-0.8_p0.3,strong,reitsma_reml,400,0.0472,0.0467,0.175,0.843,0.1714,0.2639,0.95,1.614,0.2843,0.945
k40_rho-0.8_p0.3,strong,sep_univariate,400,0.0111,0.0339,0.1612,0.91,0.2142,0.2144,0.96,1.224,0.2709,0.935
k40_rho-0.8_p0.5,moderate,adaptshrink_dta,400,-0.0228,-0.0103,0.1523,0.943,0.1875,0.1882,0.955,1.263,0.2406,0.975
k40_rho-0.8_p0.5,moderate,reitsma,400,-0.025,-0.0122,0.1531,0.905,0.1568,0.1819,0.95,1.325,0.2098,0.965
k40_rho-0.8_p0.5,moderate,reitsma_indep,400,-0.0409,-0.029,0.1574,0.902,0.1989,0.2225,0.955,1.346,0.2719,0.96
k40_rho-0.8_p0.5,moderate,reitsma_reml,400,-0.0233,-0.0104,0.1528,0.91,0.1611,0.185,0.95,1.28,0.2083,0.965
k40_rho-0.8_p0.5,moderate,sep_univariate,400,-0.0391,-0.0266,0.1577,0.915,0.205,0.2245,0.955,1.273,0.2646,0.945
k40_rho-0.8_p0.5,none,adaptshrink_dta,400,-0.1037,-0.0818,0.1997,0.708,0.1796,0.3866,0.895,2.054,0.369,0.91
k40_rho-0.8_p0.5,none,reitsma,400,-0.1046,-0.083,0.2005,0.568,0.1573,0.3986,0.905,2.659,0.4186,0.9
k40_rho-0.8_p0.5,none,reitsma_indep,400,-0.1205,-0.0982,0.2163,0.725,0.1953,0.4825,0.9,2.002,0.3918,0.945
k40_rho-0.8_p0.5,none,reitsma_reml,400,-0.103,-0.0813,0.199,0.585,0.1618,0.3902,0.905,2.535,0.4106,0.89
k40_rho-0.8_p0.5,none,sep_univariate,400,-0.119,-0.0962,0.2153,0.745,0.2003,0.4667,0.9,1.829,0.3673,0.935
k40_rho-0.8_p0.5,strong,adaptshrink_dta,400,0.0543,0.0653,0.1785,0.88,0.2013,0.2906,0.93,1.282,0.2635,0.96
k40_rho-0.8_p0.5,strong,reitsma,400,0.052,0.0634,0.1772,0.777,0.1574,0.2937,0.94,1.774,0.283,0.93
k40_rho-0.8_p0.5,strong,reitsma_indep,400,0.032,0.041,0.1634,0.91,0.2042,0.2056,0.915,1.309,0.2731,0.965
k40_rho-0.8_p0.5,strong,reitsma_reml,400,0.0538,0.0652,0.1786,0.775,0.1611,0.2993,0.94,1.795,0.2933,0.93
k40_rho-0.8_p0.5,strong,sep_univariate,400,0.0346,0.0438,0.1657,0.907,0.2112,0.2234,0.92,1.25,0.2694,0.97
k40_rho0.0_p0.1,moderate,adaptshrink_dta,400,-0.2313,0.0346,0.2829,0.613,0.227,0.5916,0.955,2.827,0.6401,0.94
k40_rho0.0_p0.1,moderate,reitsma,400,-0.232,0.0344,0.2837,0.603,0.2244,0.5923,0.95,2.811,0.6294,0.93
k40_rho0.0_p0.1,moderate,reitsma_indep,400,-0.2377,0.0342,0.2876,0.59,0.2264,0.6008,0.95,2.81,0.6348,0.94
k40_rho0.0_p0.1,moderate,reitsma_reml,400,-0.2281,0.036,0.2807,0.635,0.2298,0.5811,0.95,2.788,0.6395,0.945
k40_rho0.0_p0.1,moderate,sep_univariate,400,-0.2466,0.0345,0.2941,0.562,0.2239,0.5937,0.945,2.699,0.6014,0.925
k40_rho0.0_p0.1,none,adaptshrink_dta,400,-0.3849,-0.0716,0.4201,0.193,0.2245,0.8984,0.9,4.33,0.9746,0.875
k40_rho0.0_p0.1,none,reitsma,400,-0.3858,-0.0719,0.4211,0.19,0.2221,0.9056,0.905,4.505,1.004,0.895
k40_rho0.0_p0.1,none,reitsma_indep,400,-0.3879,-0.0718,0.4227,0.18,0.2251,0.9055,0.9,4.408,0.9956,0.89
k40_rho0.0_p0.1,none,reitsma_reml,400,-0.3823,-0.0705,0.4177,0.207,0.2277,0.8935,0.905,4.408,1.0074,0.895
k40_rho0.0_p0.1,none,sep_univariate,400,-0.3912,-0.0725,0.4254,0.155,0.2231,0.9132,0.9,4.545,1.0156,0.91
k40_rho0.0_p0.1,strong,adaptshrink_dta,400,-0.048,0.1355,0.2172,0.745,0.2347,0.4042,0.935,2.151,0.5021,0.965
k40_rho0.0_p0.1,strong,reitsma,400,-0.0474,0.1355,0.2179,0.745,0.2297,0.4003,0.935,1.992,0.4556,0.955
k40_rho0.0_p0.1,strong,reitsma_indep,400,-0.0643,0.1342,0.2201,0.733,0.2319,0.4222,0.945,2.273,0.5249,0.95
k40_rho0.0_p0.1,strong,reitsma_reml,400,-0.0441,0.1372,0.2182,0.748,0.2347,0.4028,0.935,1.973,0.4609,0.955
k40_rho0.0_p0.1,strong,sep_univariate,400,-0.0797,0.1352,0.2253,0.725,0.2277,0.3999,0.945,2.142,0.4854,0.94
