cell,strength,method,n_reps,bias1,bias2,rmse,raw_cov,raw_area,mciw0_area,mciw0_cov,kappa,robust_win_vs_HC,ours_beats_reitsma_reml,ours_beats_reitsma_indep,ours_beats_sep_univariate,ours_beats_hsroc,frac_vs_reitsma_reml,frac_vs_reitsma_indep,frac_vs_sep_univariate,frac_vs_hsroc
k6_p0.1_sparse,strong,adaptshrink_dta,600,-0.2665,0.0233,0.5772,0.837,2.3091,2.728,0.943,1.863,False,False,True,False,False,0.307,0.995,0.929,0.098
k6_p0.1_sparse,strong,hsroc,600,-0.1182,0.1285,0.5538,0.838,2.2735,2.5065,0.943,2.051,False,,,,,,,,
k6_p0.1_sparse,strong,reitsma,600,-0.2376,0.0288,0.5627,0.833,2.1868,2.6427,0.937,1.847,,,,,,,,,
k6_p0.1_sparse,strong,reitsma_indep,600,-0.2893,0.0179,0.5963,0.795,2.1283,2.9178,0.943,2.273,False,,,,,,,,
k6_p0.1_sparse,strong,reitsma_reml,600,-0.2273,0.0501,0.5584,0.86,2.4484,2.6274,0.94,1.568,False,,,,,,,,
k6_p0.1_sparse,strong,sep_univariate,600,-0.2879,0.0377,0.5946,0.83,2.3926,2.9109,0.947,2.053,False,,,,,,,,
k6_p0.3_sparse,moderate,adaptshrink_dta,600,-0.1952,-0.1023,0.5439,0.783,1.8587,2.3344,0.907,2.126,False,False,True,False,False,0.15,0.996,0.269,0.06
k6_p0.3_sparse,moderate,hsroc,600,-0.0359,0.0107,0.5271,0.825,1.7687,2.2711,0.933,2.103,False,,,,,,,,
k6_p0.3_sparse,moderate,reitsma,600,-0.1727,-0.0935,0.5413,0.768,1.6661,2.3085,0.907,2.147,,,,,,,,,
k6_p0.3_sparse,moderate,reitsma_indep,600,-0.2218,-0.1107,0.5585,0.72,1.6449,2.5067,0.903,2.455,False,,,,,,,,
k6_p0.3_sparse,moderate,reitsma_reml,600,-0.1527,-0.0748,0.5326,0.81,1.9201,2.2442,0.897,2.124,False,,,,,,,,
k6_p0.3_sparse,moderate,sep_univariate,600,-0.2019,-0.0914,0.5396,0.795,1.9751,2.2519,0.9,2.041,False,,,,,,,,
k6_p0.3_sparse,none,adaptshrink_dta,600,-0.3226,-0.206,0.6191,0.697,1.8321,3.4923,0.937,2.907,False,False,True,False,False,0.019,0.979,0.217,0.0
k6_p0.3_sparse,none,hsroc,600,-0.1815,-0.0956,0.5396,0.762,1.7518,2.5892,0.933,2.236,True,,,,,,,,
k6_p0.3_sparse,none,reitsma,600,-0.3019,-0.197,0.6043,0.652,1.6324,3.6075,0.943,3.186,,,,,,,,,
k6_p0.3_sparse,none,reitsma_indep,600,-0.3434,-0.2144,0.638,0.62,1.637,3.699,0.933,3.391,False,,,,,,,,
k6_p0.3_sparse,none,reitsma_reml,600,-0.2843,-0.1773,0.5853,0.718,1.8982,3.1286,0.937,2.425,True,,,,,,,,
k6_p0.3_sparse,none,sep_univariate,600,-0.3264,-0.196,0.616,0.715,1.9804,3.3118,0.933,2.051,False,,,,,,,,
k6_p0.3_sparse,strong,adaptshrink_dta,600,-0.0734,0.0046,0.5249,0.83,1.9223,2.1198,0.927,2.217,False,False,False,False,True,0.181,0.957,0.514,0.993
k6_p0.3_sparse,strong,hsroc,600,0.0875,0.1241,0.5621,0.837,1.7927,2.3242,0.923,2.127,False,,,,,,,,
k6_p0.3_sparse,strong,reitsma,600,-0.0431,0.0175,0.5265,0.815,1.7059,2.1055,0.927,2.047,,,,,,,,,
k6_p0.3_sparse,strong,reitsma_indep,600,-0.1048,-0.008,0.5328,0.783,1.6761,2.3013,0.937,2.544,False,,,,,,,,
k6_p0.3_sparse,strong,reitsma_reml,600,-0.0196,0.04,0.5232,0.86,1.9579,1.9279,0.917,1.932,False,,,,,,,,
k6_p0.3_sparse,strong,sep_univariate,600,-0.0867,0.0131,0.5204,0.838,1.9886,2.1685,0.927,1.996,False,,,,,,,,
