target,regime,rep,method,true_mu,mu_hat,ci_low,ci_high,converged,delta,Q
DPP4,rich,4,shrink_mean,-0.606432132997184,-0.6392378337772529,-0.8273490926867113,-0.4511265748677944,True,1.0,0.001487563291279182
DPP4,rich,5,nma,-0.606432132997184,-0.6050359712283133,-0.8443649750375821,-0.36570696741904457,True,,
DPP4,rich,5,borrow,-0.606432132997184,-0.6115117251157619,-0.8039606642209426,-0.4190627860105812,True,1.0,0.064011072702719
DPP4,rich,5,shrink_mean,-0.606432132997184,-0.6061354423371438,-0.7887523021645897,-0.42351858250969787,True,1.0,0.002651981864580314
DPP4,rich,6,nma,-0.606432132997184,-0.657722071643998,-0.8960867444234608,-0.41935739886453516,True,,
DPP4,rich,6,borrow,-0.606432132997184,-0.6582322813700047,-0.8280022688392225,-0.4884622939007869,True,1.0,0.021798359233379985
DPP4,rich,6,shrink_mean,-0.606432132997184,-0.6539716689433888,-0.8206818251777008,-0.4872615127090767,True,1.0,0.006115780758047051
DPP4,rich,7,nma,-0.606432132997184,-0.6219989559499197,-0.8549016623264152,-0.3890962495734242,True,,
DPP4,rich,7,borrow,-0.606432132997184,-0.6264187781578382,-0.8277209887399277,-0.42511656757574867,True,1.0,0.04830615001582923
DPP4,rich,7,shrink_mean,-0.606432132997184,-0.6208240678516385,-0.8139307875904251,-0.42771734811285184,True,1.0,0.00013455056279470626
DPP4,rich,8,nma,-0.606432132997184,-0.6447311469579518,-0.8810764437126667,-0.4083858502032368,True,,
DPP4,rich,8,borrow,-0.606432132997184,-0.6472139129049899,-0.8297580374310746,-0.46466978837890516,True,1.0,0.029737703249313296
DPP4,rich,8,shrink_mean,-0.606432132997184,-0.6424535781644171,-0.820236450272051,-0.46467070605678307,True,1.0,0.0022243439360145447
DPP4,rich,9,nma,-0.606432132997184,-0.5748369649639171,-0.8080200390633285,-0.3416538908645057,True,,
DPP4,rich,9,borrow,-0.606432132997184,-0.5828491433119796,-0.7602810490343621,-0.4054172375895971,True,1.0,0.10092572179627451
DPP4,rich,9,shrink_mean,-0.606432132997184,-0.5772500387937134,-0.74036072812995,-0.4141393494574767,True,1.0,0.016791568433028127
DPP4,rich,10,nma,-0.606432132997184,-0.5819066508575448,-0.815722956528909,-0.3480903451861805,True,,
DPP4,rich,10,borrow,-0.606432132997184,-0.5844451866134652,-0.7527456826468727,-0.41614469058005776,True,1.0,0.09825498076337655
DPP4,rich,10,shrink_mean,-0.606432132997184,-0.5791539345752941,-0.7336777168661618,-0.42463015228442635,True,1.0,0.015394577757418667
DPP4,rich,11,nma,-0.606432132997184,-0.5984775642637938,-0.8278816101482084,-0.3690735183793793,True,,
DPP4,rich,11,borrow,-0.606432132997184,-0.5967564999653008,-0.7510893813723595,-0.4424236185582421,True,1.0,0.08094863443142336
DPP4,rich,11,shrink_mean,-0.606432132997184,-0.5922729778252476,-0.7356373182284501,-0.448908637422045,True,1.0,0.007781646325553984
DPP4,rich,12,nma,-0.606432132997184,-0.6937683990562511,-0.9309347227020204,-0.45660207541048176,True,,
DPP4,rich,12,borrow,-0.606432132997184,-0.6977562575525532,-0.8703650944348305,-0.525147420670276,True,1.0,0.0037388215850394594
DPP4,rich,12,shrink_mean,-0.606432132997184,-0.6924015967901455,-0.8664379122936245,-0.5183652812866664,True,1.0,0.033727908671154605
DPP4,rich,13,nma,-0.606432132997184,-0.5692765580117709,-0.8065301481157938,-0.33202296790774793,True,,
DPP4,rich,13,borrow,-0.606432132997184,-0.5766633731528457,-0.7406934005447552,-0.41263334576093613,True,1.0,0.10967598912638388
DPP4,rich,13,shrink_mean,-0.606432132997184,-0.5711839678103534,-0.719710174153921,-0.4226577614667858,True,1.0,0.021182878517616167
DPP4,rich,14,nma,-0.606432132997184,-0.5022039188361842,-0.7260715540956744,-0.27833628357669404,True,,
DPP4,rich,14,borrow,-0.606432132997184,-0.5044211212684557,-0.6770650703831609,-0.33177717215375063,True,1.0,0.254614376710453
DPP4,rich,14,shrink_mean,-0.606432132997184,-0.49484938381415383,-0.625081385042444,-0.3646173825858636,True,1.0,0.12789016177827958
