mu,tau,selection,quality_bias,k,design_mix,method,replicate,true_mu,k_published,mu_hat,ci_low,ci_high,converged
0.2,0.0,none,moderate,30,all_rct,reml_hksj,24,0.2,6,0.246895383680209,0.13150767127520763,0.36228309608521037,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,24,0.2,6,0.2354834327711055,0.14963915760455027,0.32132770793766074,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,24,0.2,6,0.26447581369159434,0.14976939394600958,0.3791822334371791,True
0.2,0.0,none,moderate,30,all_rct,copas,24,0.2,6,0.2467647231214867,0.159001330060416,0.3345281161825574,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,24,0.2,6,0.24125261175720686,0.13495758660841387,0.3475476369059999,True
0.2,0.0,none,moderate,30,all_rct,ubcma,24,0.2,6,0.029743705385319997,-0.34323373703501403,0.4125600779200618,True
0.2,0.0,none,moderate,30,all_rct,dl,25,0.2,16,0.260593546394827,0.2132281663603402,0.30795892642931383,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,25,0.2,16,0.260593546394827,0.20906461012109934,0.3121224826685547,True
0.2,0.0,none,moderate,30,all_rct,reml,25,0.2,16,0.2606021362357802,0.21383289338194897,0.3073713790896115,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,25,0.2,16,0.2606021362357802,0.2092685569238032,0.31193571554775723,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,25,0.2,16,0.18364280253653523,0.14632045266214466,0.2209651524109258,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,25,0.2,16,0.254289484461028,0.18086756815425903,0.327711400767797,True
0.2,0.0,none,moderate,30,all_rct,copas,25,0.2,16,0.25982310102806877,0.2135067889578863,0.30613941309825127,True
0.2,0.0,none,moderate,30,all_rct,quality_effects,25,0.2,16,0.24317196927846577,0.18601449185141516,0.30032944670551637,True
0.2,0.0,none,moderate,30,all_rct,ubcma,25,0.2,16,0.15958363615823767,0.06176452177093516,0.257864297531738,True
0.2,0.0,none,moderate,30,all_rct,dl,26,0.2,11,0.30541247319269543,0.2064358751231276,0.40438907126226326,True
0.2,0.0,none,moderate,30,all_rct,dl_hksj,26,0.2,11,0.30541247319269543,0.18355731620961102,0.42726763017577984,True
0.2,0.0,none,moderate,30,all_rct,reml,26,0.2,11,0.30304192893629284,0.21114891351065046,0.3949349443619352,True
0.2,0.0,none,moderate,30,all_rct,reml_hksj,26,0.2,11,0.30304192893629284,0.18486115582710017,0.4212227020454855,True
0.2,0.0,none,moderate,30,all_rct,trim_and_fill,26,0.2,11,0.16785139230389956,0.11928583203628708,0.21641695257151206,True
0.2,0.0,none,moderate,30,all_rct,pet_peese,26,0.2,11,0.2643385148295077,0.1773510282705944,0.351326001388421,True
