nct_id,drug_class,published,abs_md_pct
NCT01263496,AGI,0,0.435
NCT01263496,DPP4,0,0.432
NCT01263496,AGI,0,0.432
NCT01263496,DPP4,0,0.477
NCT01263496,AGI,0,0.477
NCT01263496,DPP4,0,0.638
NCT01263496,AGI,0,0.638
NCT05275400,insulin,1,0.089
NCT05275400,insulin,1,0.089
NCT02068443,metformin,0,0.11
NCT02068443,DPP4,0,0.11
NCT02561078,insulin,0,0.42
NCT00859898,metformin,1,0.01
NCT00859898,SGLT2,1,0.01
NCT00859898,metformin,1,0.53
NCT00859898,SGLT2,1,0.53
NCT00570739,metformin,1,0.25
NCT00570739,metformin,1,0.26
NCT00570739,metformin,1,0.1
NCT03730662,GLP1,1,1.14
NCT03730662,insulin,1,1.14
NCT03730662,GLP1,1,0.8
NCT03730662,insulin,1,0.8
NCT03987919,GLP1,1,0.6
NCT03987919,GLP1,1,0.23
NCT02157298,SGLT2,0,0.6
NCT01475461,DPP4,1,0.43
NCT01475461,DPP4,1,0.42
NCT05462756,insulin,1,0.012
NCT05462756,insulin,1,0.012
NCT00305604,DPP4,1,0.7
NCT02558296,SGLT2,0,0.48
NCT02558296,SGLT2,0,0.52
NCT02558296,SGLT2,0,0.27
NCT00698932,DPP4,1,0.5
NCT00643851,metformin,1,0.7
NCT00643851,SGLT2,1,0.7
NCT00643851,metformin,1,1.19
NCT00643851,SGLT2,1,1.19
NCT01195090,DPP4,0,0.23
NCT01195090,TZD,0,0.23
NCT00660907,metformin,1,0.0
NCT00660907,SGLT2,1,0.0
NCT00660907,SU,1,0.0
NCT00658021,GLP1,0,0.28
NCT01195662,SGLT2,1,0.61
NCT01042977,SGLT2,1,0.4
NCT04809220,GLP1,0,0.29
NCT04809220,GLP1,0,0.31
NCT01554618,GLP1,1,0.85
NCT01031680,SGLT2,1,0.46
NCT04445714,SGLT2,0,1.2
NCT04445714,DPP4,0,1.2
NCT01646320,metformin,1,0.72
NCT01646320,SGLT2,1,0.72
NCT01646320,DPP4,1,0.72
NCT02471404,SGLT2,1,0.21
NCT02471404,DPP4,1,0.21
NCT02471404,SU,1,0.21
NCT04039503,GLP1,1,1.65
NCT04039503,GLP1,1,1.3
NCT01196104,insulin,0,0.0473
NCT01676220,insulin,1,0.04
NCT02320721,insulin,1,0.02
NCT01624259,metformin,1,0.06
NCT01624259,GLP1,1,0.06
NCT02058147,metformin,1,0.29
NCT02058147,GLP1,1,0.29
NCT02058147,insulin,1,0.29
NCT01318109,metformin,0,0.751
NCT01318109,DPP4,0,0.751
NCT01318109,metformin,0,0.191
NCT01318109,DPP4,0,0.191
NCT01217892,metformin,0,0.22
NCT01217892,SGLT2,0,0.22
NCT03311724,GLP1,0,2.2
NCT01263496,DPP4,0,0.59
NCT01263496,AGI,0,0.59
NCT01263496,DPP4,0,0.51
NCT01263496,AGI,0,0.51
NCT01263496,DPP4,0,0.405
NCT01263496,AGI,0,0.405
