ma,family,specialty,yi,se,year,nct,condition,intervention,prespecified,corpus_specialty
aact_diabetesme_insulin,LOR,clinical_medicine,-0.6296091597559575,0.2604481653049365,2011,NCT01445951,diabetes mellitus,"insulin, short-acting",1,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.07257069283483537,0.31958826243160654,2010,NCT01109316,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.10536051565782628,0.2229711692353831,2010,NCT01215955,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,0.01980262729617973,0.20147666550983942,2019,NCT03952143,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.2231435513142097,0.3648507232679429,2010,NCT01134107,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_insulin,LOR,clinical_medicine,-0.8603830999358592,0.16273334976979467,2006,NCT00309244,diabetes mellitus,"insulin, short-acting",0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,1.3862943611198906,0.19941707706553408,2008,NCT00734474,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,1.2809338454620642,0.3284937461503308,2006,NCT00395343,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,-0.40047756659712525,0.17952607686707744,2008,NCT00701090,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,2.0001277349601105,0.4631524029241681,2014,NCT02226003,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,0.6931471805599453,0.19573195190464668,2008,NCT00532935,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,1.0818051703517284,0.21954531634302565,2014,NCT02099110,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,0.5877866649021191,0.16477198071090376,2010,NCT01137812,diabetes mellitus,triazoles,0,1
aact_diabetesme_triazoles,LOR,clinical_medicine,0.7466879474879751,0.13156404873919714,2007,NCT00482729,diabetes mellitus,triazoles,1,1
aact_depressive_piperazine,LOR,psychiatry,-0.7550225842780328,0.28648581061957745,2009,NCT00811252,depressive disorder,piperazines,0,1
aact_depressive_piperazine,LOR,psychiatry,0.22314355131420976,0.202791959735024,2012,NCT01571453,depressive disorder,piperazines,0,1
