ma,specialty,y,within,within_sd,mu_cold,sd_cold,aact
aact_neoplasmsb_antibodies,oncology,-0.843970070294529,0.34914464713653026,0.5046297596604807,0.31818043689833564,0.7456476983501764,True
aact_neoplasmsb_antibodies,oncology,1.1346227261911428,0.17229974349291682,0.5725190439628003,0.40483735310633473,0.7491479207007048,True
aact_neoplasmsb_antibodies,oncology,-0.4462871026284195,0.2695651200612316,0.5937426165754797,0.40372868121358185,0.7480214242638353,True
aact_neoplasmsb_antibodies,oncology,1.0581374561023913,0.11619498038632838,0.5445358218792018,0.28971855947714287,0.7462054242896764,True
aact_neoplasmsb_antibodies,oncology,0.2390169004704999,0.23258389466098142,0.6050740852482845,0.41003709387116327,0.7498103342012277,True
aact_neoplasmsb_antibodies,oncology,0.5822156198526637,0.152947759340552,0.6341154493975688,0.258149342671685,0.746382174231984,True
aact_neoplasmsb_antibodies,oncology,-0.616186139423817,0.33718276707354705,0.5475887444645027,0.30330673577425893,0.7458226966267983,True
aact_neoplasmsb_antibodies,oncology,0.2851789422336624,0.20237209284242455,0.7380273296798803,0.19471421300278502,0.7491448053844378,True
aact_neoplasmsb_antibodies,oncology,0.245296355955343,0.23128825083822097,0.6022571536424943,0.43781752444481825,0.7523982108759323,True
aact_neoplasmsb_antibodies,oncology,0.7542422799197561,0.2186702141846596,0.598328622749214,0.4246037647118497,0.7500662931290711,True
aact_diabetesme_insulin,clinical_medicine,1.7227665977411035,0.04801425024918379,0.6055445404360442,0.9380322138525352,0.7552890996842029,True
aact_diabetesme_insulin,clinical_medicine,0.6729444732424258,0.013850275812671398,0.6547366850061281,0.8916227078697986,0.755329570684153,True
aact_diabetesme_insulin,clinical_medicine,-0.0408219945202551,0.12271842977778034,0.7051558868667304,0.7045383627097042,0.7572519254833675,True
aact_diabetesme_insulin,clinical_medicine,-0.8255363686056909,0.07215912647391728,0.6556961200941269,1.039576335681809,0.757572234567037,True
aact_diabetesme_insulin,clinical_medicine,0.9516578757114464,0.09971877826198101,0.6623049710488303,0.7929225919687597,0.7560270056802718,True
aact_diabetesme_insulin,clinical_medicine,0.5877866649021191,0.08469857168674477,0.6795178394953336,0.8425007462911015,0.7555849207783343,True
aact_diabetesme_insulin,clinical_medicine,0.0582689081239758,0.04370488113388367,0.6724835808582321,0.8644262971760782,0.755447189756846,True
aact_diabetesme_insulin,clinical_medicine,-0.3285040669720361,0.10967769085583702,0.7010564868350067,0.5554858512668616,0.7607330801558542,True
aact_diabetesme_insulin,clinical_medicine,2.0268315914075385,0.09135135534015577,0.588025027606892,0.9563869179868589,0.7553455704478643,True
aact_diabetesme_insulin,clinical_medicine,0.9321640810304452,0.03154710687987036,0.6493881163679006,0.8981387074309609,0.7553107856563536,True
