cell,tau,selection,n,ncontrast,reps,nscored,dMCIW0,dMCIW0_lo,dMCIW0_hi,MCIW0_robust,dMCIW,dMCIW_lo,dMCIW_hi,MCIW_robust,mciw0_auto,mciw0_DL,bias_auto,bias_DL,rawcov_auto,rawcov_DL,covunif_auto,covunif_DL,spearman_auto,spearman_DL,top1_auto,top1_DL,secs,d_rawcov
t10_none_n6,0.1,none,6,5,600,600,0.006956301699476447,0.0016485153402599415,0.01078200344700954,False,0.004115738584798578,0.00027759099912145135,0.01045007478788751,False,0.18013434616569762,0.17349240761063764,0.0014050814184150134,0.0012590290690324486,0.9480000000000001,0.9433333333333334,0.0033333333333333214,0.006666666666666621,0.980095238095238,0.9803809523809524,0.95,0.9633333333333334,141.4,0.004666666666666708
t10_none_n8,0.1,none,8,7,600,600,0.006405685750384915,0.00155064609044109,0.009493084781847256,False,0.004889346624604551,0.0018741195541844356,0.008225232972071287,False,0.15665107031155107,0.1535517096189478,0.0009345759539094932,0.0011437055268464639,0.9411904761904761,0.942142857142857,0.010714285714285707,0.010238095238095221,0.9857936507936508,0.986388888888889,0.9616666666666667,0.9633333333333334,306.2,-0.0009523809523808158
t10_none_n10,0.1,none,10,9,600,600,0.0038001554518168057,4.064600059663916e-05,0.005713148143350087,False,0.0025101554324115094,0.00027977988492257355,0.005460285106624747,False,0.13138131922639903,0.12877601119818913,0.0005023343452029393,0.00045880959375257826,0.949074074074074,0.9474074074074075,0.007222222222222229,0.0070370370370370396,0.9904242424242424,0.9902222222222222,0.965,0.9666666666666667,765.2,0.0016666666666664831
t10_none_n12,0.1,none,12,11,600,600,0.002331010263158323,0.0004759077972246627,0.004394924072502594,False,0.0017336820606350528,-0.00015165371842076994,0.003641141031074004,False,0.12248824753877398,0.12140222337462779,0.001003167455684418,0.0008844701513720014,0.9481818181818181,0.9443939393939395,0.005454545454545459,0.008333333333333314,0.9919580419580419,0.9920979020979023,0.94,0.9483333333333334,1436.2,0.0037878787878786735
t20_none_n5,0.2,none,5,4,600,600,0.007635403683708186,-0.000523286633738209,0.016080388929845004,False,0.013511781019042324,0.003995132421173806,0.022310331493351123,False,0.2331215320367291,0.23490937041730525,0.0029800859050658985,0.0023598431245353633,0.9441666666666666,0.94875,0.0058333333333333015,0.002083333333333298,0.9676666666666666,0.9699999999999999,0.9316666666666666,0.9433333333333334,87.9,-0.004583333333333384
t20_none_n6,0.2,none,6,5,600,600,0.010703323284001559,0.0012401863612444088,0.017288878016854237,False,0.007772399990396167,0.0018122076758494345,0.016248796902606583,False,0.2166002967353075,0.21467060839165614,0.001742191599048443,0.001575174533337597,0.9456666666666667,0.952,0.006999999999999984,0.004666666666666685,0.9735238095238096,0.9752380952380952,0.9366666666666666,0.95,136.0,-0.006333333333333302
t20_none_n8,0.2,none,8,7,600,600,0.00835881615991696,0.004075298612154761,0.013146281451629063,False,0.009630182962125783,0.004500291850234315,0.013830554665349742,False,0.19880485180780222,0.190471032579564,0.0013556911515128416,0.0014968153760589427,0.930952380952381,0.9442857142857143,0.01904761904761901,0.008571428571428563,0.9813095238095239,0.9815873015873016,0.945,0.9416666666666667,356.3,-0.013333333333333308
t20_none_n10,0.2,none,10,9,600,600,0.004121458203758838,0.0010948339791411153,0.008008378864062329,False,0.004350705836300067,0.0018070236847192258,0.008952479642808646,False,0.16998948721857265,0.1638127241732146,0.0011461316742295367,0.0012505956299964475,0.942037037037037,0.9500000000000001,0.013148148148148131,0.005555555555555548,0.9873535353535353,0.9875353535353535,0.9566666666666667,0.9533333333333334,846.6,-0.00796296296296306
t20_none_n12,0.2,none,12,11,600,600,0.003440890670803276,0.00018067602801137979,0.00643763381704719,False,0.0032057087312142574,1.975510151186475e-06,0.0065185173181583405,False,0.15733624386531755,0.15450308645680644,0.001736235568155632,0.0012598275299501285,0.9413636363636364,0.9454545454545454,0.008939393939393903,0.006363636363636339,0.9899533799533801,0.9901398601398603,0.9366666666666666,0.94,1400.5,-0.004090909090909034
t30_none_n5,0.3,none,5,4,600,600,0.007521786507427575,-0.0038699828111365365,0.01978274572415254,False,0.010466684659178216,0.0005558094284743964,0.024716397926154005,False,0.2871963457615464,0.29683726399362004,0.004655301460565271,0.0033559862056123987,0.9441666666666666,0.94875,0.006666666666666654,0.004583333333333328,0.9593333333333331,0.9606666666666667,0.9216666666666666,0.93,87.7,-0.004583333333333384
