strength,rep,method,true_mu,mu_hat,ci_low,ci_high,converged
none,45,two_stage_fixed,0.045,0.054926740538808534,0.044532768197915934,0.06532071287970113,True
none,45,one_stage,0.045,0.054926740538808534,0.044532768197915934,0.06532071287970113,True
none,45,trend_pet,0.045,0.17262443033119154,0.08451058180590944,0.26073827885647366,True
none,45,trend_peese,0.045,0.11096122721644408,0.07079189817792159,0.15113055625496657,True
none,45,adaptshrink,0.045,0.054749094106859846,0.04093546071890268,0.06856272749481701,True
none,46,two_stage_reml,0.045,0.04043576580035306,0.029285944815783997,0.05158558678492212,True
none,46,two_stage_fixed,0.045,0.04054730819102887,0.029877497885401838,0.0512171184966559,True
none,46,one_stage,0.045,0.04054730819102887,0.029877497885401838,0.0512171184966559,True
none,46,trend_pet,0.045,0.13408421344473137,0.02148094599352232,0.24668748089594042,True
none,46,trend_peese,0.045,0.08493245242746501,0.03235251966098244,0.1375123851939476,True
none,46,adaptshrink,0.045,0.04051228518672423,0.02679314456094605,0.054231425812502405,True
none,47,two_stage_reml,0.045,0.04982550802574332,0.03292616533700174,0.0667248507144849,True
none,47,two_stage_fixed,0.045,0.051969020893605895,0.041606175561764595,0.062331866225447195,True
none,47,one_stage,0.045,0.05196902089360591,0.04160617556176461,0.06233186622544721,True
none,47,trend_pet,0.045,0.16731860646680788,0.041327220798254016,0.29330999213536174,True
none,47,trend_peese,0.045,0.10539971105888234,0.04305594373384773,0.16774347838391696,True
